product_id,product_name,brand,category,net_revenue_total,estimated_margin_total,return_rate,return_reason_top,false_winner_flag
P00102,Moya Women Shoes Item 660,Moya,Women Shoes,30818.13,12863.94,0.23529411764705882,size,True
P00012,LunaRidge Women Shoes Item 261,LunaRidge,Women Shoes,28467.43,7831.929999999999,0.35714285714285715,damaged,True
P00004,LunaRidge Women Shoes Item 269,LunaRidge,Women Shoes,22399.78,11266.48,0.25,quality,True
P00109,Aurelia Women Shoes Item 998,Aurelia,Women Shoes,20221.199999999997,6135.96,0.2,size,True
P00125,Aurelia Women Shoes Item 269,Aurelia,Women Shoes,16085.81,6315.53,0.1875,size,True
P00075,Nord & Field Women Shoes Item 273,Nord & Field,Women Shoes,14841.56,6927.11,0.18181818181818182,damaged,True
P00066,Stone&Salt Women Shoes Item 334,Stone&Salt,Women Shoes,13770.49,4423.09,0.2857142857142857,size,True
P00119,Rivermark Women Shoes Item 580,Rivermark,Women Shoes,12890.77,3107.6200000000003,0.2,not_as_expected,True
P00155,Rivermark Women Shoes Item 445,Rivermark,Women Shoes,12764.94,4197.74,0.2,quality,True
P00081,Aurelia Women Shoes Item 760,Aurelia,Women Shoes,39885.04,9256.28,0.11764705882352941,not_as_expected,False
P00126,Rivermark Women Shoes Item 274,Rivermark,Women Shoes,28096.329999999998,7927.21,0.0,none,False
P00065,Aurelia Women Shoes Item 361,Aurelia,Women Shoes,25440.92,9962.119999999999,0.14285714285714285,quality,False
P00116,Stone&Salt Women Shoes Item 366,Stone&Salt,Women Shoes,25142.86,8051.02,0.0625,quality,False
P00057,Aurelia Women Shoes Item 669,Aurelia,Women Shoes,24421.19,10345.279999999999,0.05555555555555555,quality,False
P00123,Stone&Salt Women Shoes Item 94,Stone&Salt,Women Shoes,23436.22,13488.88,0.16666666666666666,not_as_expected,False
P00170,Bright & Co Women Shoes Item 788,Bright & Co,Women Shoes,22805.54,8870.57,0.0,none,False
P00139,Stone&Salt Women Shoes Item 429,Stone&Salt,Women Shoes,20781.09,9684.09,0.15384615384615385,not_as_expected,False
P00138,VeldStudio Women Shoes Item 870,VeldStudio,Women Shoes,20774.93,6059.79,0.058823529411764705,size,False
P00047,LunaRidge Women Shoes Item 50,LunaRidge,Women Shoes,20663.0,5124.96,0.07692307692307693,size,False
P00083,VeldStudio Women Shoes Item 497,VeldStudio,Women Shoes,19791.54,6680.610000000001,0.125,size,False
P00147,SableWorks Women Shoes Item 869,SableWorks,Women Shoes,19560.559999999998,8877.16,0.07142857142857142,size,False
P00029,CopperLane Women Shoes Item 141,CopperLane,Women Shoes,19224.46,8185.389999999999,0.1,not_as_expected,False
P00200,KayaCo Men Tees Item 362,KayaCo,Men Tees,17465.1,4730.55,0.041666666666666664,quality,False
P00103,Stone&Salt Women Shoes Item 649,Stone&Salt,Women Shoes,16941.03,7963.4400000000005,0.09090909090909091,not_as_expected,False
P00093,VeldStudio Women Shoes Item 234,VeldStudio,Women Shoes,16444.22,5973.469999999999,0.07692307692307693,size,False
P00120,SableWorks Women Shoes Item 338,SableWorks,Women Shoes,16298.67,4017.83,0.0,none,False
P00186,LunaRidge Women Shoes Item 597,LunaRidge,Women Shoes,15628.380000000001,5101.74,0.0,none,False
P00051,Bright & Co Accessories Item 24,Bright & Co,Accessories,15163.31,4431.110000000001,0.13333333333333333,not_as_expected,False
P00163,KayaCo Women Shoes Item 787,KayaCo,Women Shoes,15156.39,8829.19,0.0,none,False
P00080,VeldStudio Women Shoes Item 427,VeldStudio,Women Shoes,14774.470000000001,8630.630000000001,0.07692307692307693,size,False
P00124,Noma Women Shoes Item 515,Noma,Women Shoes,14750.29,4658.93,0.0,none,False
P00112,Moya Women Shoes Item 479,Moya,Women Shoes,14747.66,6264.46,0.07692307692307693,size,False
P00149,Aurelia Kids Item 198,Aurelia,Kids,14356.64,3952.62,0.11764705882352941,size,False
P00014,Moya Women Shoes Item 970,Moya,Women Shoes,13701.44,4478.45,0.15384615384615385,damaged,False
P00010,SableWorks Women Shoes Item 834,SableWorks,Women Shoes,13524.880000000001,4630.06,0.0,none,False
P00142,Nord & Field Home Item 768,Nord & Field,Home,13110.48,6165.36,0.1111111111111111,quality,False
P00197,SableWorks Women Shoes Item 98,SableWorks,Women Shoes,13081.75,5915.11,0.0,none,False
P00011,Moya Accessories Item 344,Moya,Accessories,12420.76,4156.259999999999,0.0,none,False
P00003,Rivermark Women Shoes Item 891,Rivermark,Women Shoes,12411.89,3008.2999999999997,0.0,none,False
P00072,Bright & Co Women Shoes Item 676,Bright & Co,Women Shoes,12234.66,3573.8399999999997,0.08333333333333333,size,False
P00100,Noma Women Shoes Item 556,Noma,Women Shoes,11909.37,3108.09,0.125,size,False
P00194,CopperLane Kids Item 850,CopperLane,Kids,11701.68,5324.73,0.058823529411764705,size,False
P00196,Rivermark Women Shoes Item 824,Rivermark,Women Shoes,11434.45,2612.17,0.0,none,False
P00097,Noma Men Tees Item 766,Noma,Men Tees,11334.89,3466.89,0.1111111111111111,damaged,False
P00190,KayaCo Women Shoes Item 482,KayaCo,Women Shoes,11229.19,6216.42,0.0,none,False
P00107,SableWorks Accessories Item 854,SableWorks,Accessories,11171.88,2990.76,0.0,none,False
P00008,Nord & Field Men Tees Item 916,Nord & Field,Men Tees,11080.61,2807.95,0.0,none,False
P00036,KayaCo Women Shoes Item 897,KayaCo,Women Shoes,10983.93,4536.06,0.16666666666666666,quality,False
P00175,VeldStudio Men Tees Item 953,VeldStudio,Men Tees,10761.66,2713.0,0.05555555555555555,damaged,False
P00183,CopperLane Women Shoes Item 472,CopperLane,Women Shoes,10716.32,4467.44,0.0,none,False
P00160,Aurelia Kids Item 695,Aurelia,Kids,10678.82,3220.6,0.0,none,False
P00168,Aurelia Home Item 816,Aurelia,Home,10379.58,5064.18,0.09090909090909091,damaged,False
P00043,Stone&Salt Women Shoes Item 984,Stone&Salt,Women Shoes,10037.61,5208.610000000001,0.0,none,False
P00129,LunaRidge Women Shoes Item 118,LunaRidge,Women Shoes,9816.2,2493.7999999999997,0.1111111111111111,quality,False
P00184,Rivermark Men Tees Item 916,Rivermark,Men Tees,9702.58,4204.3,0.125,not_as_expected,False
P00090,Bright & Co Home Item 533,Bright & Co,Home,9667.63,5203.15,0.0,none,False
